index,date,season,year,month,hour,is_holiday,weekday,is_working_day,weather_situation,temperature,apparent_temperature,humidity,windspeed,casual_rentals,registered_rentals,total_rentals,time_of_day,windspeed_category,humidity_category,rolling_mean
46,2011-01-02,Spring,2011,Jan,22,Not holiday,Sunday,Not Workday,Clear/Few clouds,0.24,0.2121,0.44,0.2985,0,9,9,Sore,Low,Low,40.75
45,2011-01-02,Spring,2011,Jan,21,Not holiday,Sunday,Not Workday,Clear/Few clouds,0.26,0.2273,0.44,0.3284,11,20,31,Sore,Low,Low,40.625
44,2011-01-02,Spring,2011,Jan,20,Not holiday,Sunday,Not Workday,Clear/Few clouds,0.3,0.2727,0.39,0.3582,5,17,22,Sore,Low,Low,40.041666666666664
43,2011-01-02,Spring,2011,Jan,19,Not holiday,Sunday,Not Workday,Clear/Few clouds,0.32,0.2879,0.42,0.4478,1,29,30,Sore,Low,Low,39.75
42,2011-01-02,Spring,2011,Jan,18,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.36,0.3333,0.46,0.3284,10,43,53,Sore,Low,Low,40.5
41,2011-01-02,Spring,2011,Jan,17,Not holiday,Sunday,Not Workday,Clear/Few clouds,0.34,0.3333,0.57,0.194,7,58,65,Siang,Low,Low,39.333333333333336
40,2011-01-02,Spring,2011,Jan,16,Not holiday,Sunday,Not Workday,Light Rain/Snow,0.34,0.3333,0.71,0.1642,9,67,76,Siang,Low,Low,37.916666666666664
39,2011-01-02,Spring,2011,Jan,15,Not holiday,Sunday,Not Workday,Light Rain/Snow,0.34,0.3333,0.81,0.1642,19,55,74,Siang,Low,Low,36.583333333333336
37,2011-01-02,Spring,2011,Jan,13,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.36,0.3485,0.66,0.1343,11,64,75,Siang,Low,Low,35.791666666666664
29,2011-01-02,Spring,2011,Jan,4,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.46,0.4545,0.94,0.194,2,1,3,Malam,Low,Low,32.416666666666664
35,2011-01-02,Spring,2011,Jan,11,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.36,0.3333,0.71,0.2537,16,54,70,Pagi,Low,Low,32.541666666666664
36,2011-01-02,Spring,2011,Jan,12,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.36,0.3333,0.66,0.2985,20,73,93,Siang,Low,Low,34.916666666666664
26,2011-01-02,Spring,2011,Jan,1,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.44,0.4394,0.94,0.2537,1,16,17,Malam,Low,Low,33.291666666666664
27,2011-01-02,Spring,2011,Jan,2,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.42,0.4242,1.0,0.2836,1,8,9,Malam,Low,Low,32.333333333333336
28,2011-01-02,Spring,2011,Jan,3,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.46,0.4545,0.94,0.194,2,4,6,Malam,Low,Low,32.041666666666664
25,2011-01-02,Spring,2011,Jan,0,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.46,0.4545,0.88,0.2985,4,13,17,Malam,Low,Low,32.708333333333336
31,2011-01-02,Spring,2011,Jan,7,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.4,0.4091,0.76,0.194,0,1,1,Pagi,Low,Low,32.708333333333336
32,2011-01-02,Spring,2011,Jan,8,Not holiday,Sunday,Not Workday,Light Rain/Snow,0.4,0.4091,0.71,0.2239,0,8,8,Pagi,Low,Low,31.375
33,2011-01-02,Spring,2011,Jan,9,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.38,0.3939,0.76,0.2239,1,19,20,Pagi,Low,Low,32.083333333333336
34,2011-01-02,Spring,2011,Jan,10,Not holiday,Sunday,Not Workday,Cloudy/Broken clouds,0.36,0.3485,0.81,0.2239,7,46,53,Pagi,Low,Low,33.958333333333336
30,2011-01-02,Spring,2011,Jan,6,Not holiday,Sunday,Not Workday,Light Rain/Snow,0.42,0.4242,0.77,0.2985,0,2,2,Pagi,Low,Low,33.458333333333336
60,2011-01-03,Spring,2011,Jan,14,Not holiday,Monday,Workingday,Clear/Few clouds,0.26,0.2424,0.3,0.2836,11,66,77,Siang,Low,Low,36.583333333333336
69,2011-01-03,Spring,2011,Jan,23,Not holiday,Monday,Workingday,Clear/Few clouds,0.18,0.2121,0.55,0.1045,1,11,12,Sore,Low,Low,34.625
68,2011-01-03,Spring,2011,Jan,22,Not holiday,Monday,Workingday,Clear/Few clouds,0.14,0.1515,0.69,0.1343,0,20,20,Sore,Low,Low,35.125
67,2011-01-03,Spring,2011,Jan,21,Not holiday,Monday,Workingday,Clear/Few clouds,0.18,0.197,0.64,0.1343,3,49,52,Sore,Low,Low,36.916666666666664
66,2011-01-03,Spring,2011,Jan,20,Not holiday,Monday,Workingday,Clear/Few clouds,0.2,0.2273,0.47,0.1045,3,49,52,Sore,Low,Low,37.791666666666664
65,2011-01-03,Spring,2011,Jan,19,Not holiday,Monday,Workingday,Clear/Few clouds,0.2,0.2576,0.47,0.0,8,102,110,Sore,,Low,41.458333333333336
64,2011-01-03,Spring,2011,Jan,18,Not holiday,Monday,Workingday,Clear/Few clouds,0.24,0.2576,0.32,0.1045,9,148,157,Sore,Low,Low,46.75
62,2011-01-03,Spring,2011,Jan,16,Not holiday,Monday,Workingday,Clear/Few clouds,0.26,0.2424,0.3,0.2537,9,67,76,Siang,Low,Low,47.708333333333336
61,2011-01-03,Spring,2011,Jan,15,Not holiday,Monday,Workingday,Clear/Few clouds,0.26,0.2424,0.3,0.2537,14,58,72,Siang,Low,Low,48.0
59,2011-01-03,Spring,2011,Jan,13,Not holiday,Monday,Workingday,Clear/Few clouds,0.24,0.2121,0.35,0.2836,8,53,61,Siang,Low,Low,47.375
63,2011-01-03,Spring,2011,Jan,17,Not holiday,Monday,Workingday,Clear/Few clouds,0.24,0.2273,0.3,0.2239,11,146,157,Siang,Low,Low,50.833333333333336
57,2011-01-03,Spring,2011,Jan,11,Not holiday,Monday,Workingday,Clear/Few clouds,0.2,0.1818,0.4,0.3284,10,41,51,Pagi,Low,Low,49.833333333333336
49,2011-01-03,Spring,2011,Jan,1,Not holiday,Monday,Workingday,Clear/Few clouds,0.2,0.1667,0.44,0.4179,0,2,2,Malam,Low,Low,49.791666666666664
50,2011-01-03,Spring,2011,Jan,4,Not holiday,Monday,Workingday,Clear/Few clouds,0.16,0.1364,0.47,0.3881,0,1,1,Malam,Low,Low,46.916666666666664
51,2011-01-03,Spring,2011,Jan,5,Not holiday,Monday,Workingday,Clear/Few clouds,0.16,0.1364,0.47,0.2836,0,3,3,Malam,Low,Low,43.166666666666664
52,2011-01-03,Spring,2011,Jan,6,Not holiday,Monday,Workingday,Clear/Few clouds,0.14,0.1061,0.5,0.3881,0,30,30,Pagi,Low,Low,43.708333333333336
48,2011-01-03,Spring,2011,Jan,0,Not holiday,Monday,Workingday,Clear/Few clouds,0.22,0.197,0.44,0.3582,0,5,5,Malam,Low,Low,43.541666666666664
58,2011-01-03,Spring,2011,Jan,12,Not holiday,Monday,Workingday,Clear/Few clouds,0.22,0.2121,0.35,0.2985,13,48,61,Siang,Low,Low,45.833333333333336
54,2011-01-03,Spring,2011,Jan,8,Not holiday,Monday,Workingday,Clear/Few clouds,0.14,0.1212,0.5,0.2836,1,153,154,Pagi,Low,Low,51.541666666666664
55,2011-01-03,Spring,2011,Jan,9,Not holiday,Monday,Workingday,Clear/Few clouds,0.16,0.1364,0.43,0.3881,7,81,88,Pagi,Low,Low,55.166666666666664
56,2011-01-03,Spring,2011,Jan,10,Not holiday,Monday,Workingday,Clear/Few clouds,0.18,0.1667,0.43,0.2537,11,33,44,Pagi,Low,Low,56.666666666666664
53,2011-01-03,Spring,2011,Jan,7,Not holiday,Monday,Workingday,Clear/Few clouds,0.14,0.1364,0.5,0.194,1,63,64,Pagi,Low,Low,58.5
82,2011-01-04,Spring,2011,Jan,13,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.24,0.2273,0.56,0.194,18,79,97,Siang,Low,Low,60.333333333333336
91,2011-01-04,Spring,2011,Jan,22,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.22,0.2576,0.64,0.0896,1,34,35,Sore,Low,Low,61.708333333333336
90,2011-01-04,Spring,2011,Jan,21,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.22,0.2727,0.64,0.0,0,48,48,Sore,,Low,60.5
89,2011-01-04,Spring,2011,Jan,20,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.24,0.2576,0.48,0.1045,1,53,54,Sore,Low,Low,62.25
88,2011-01-04,Spring,2011,Jan,19,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.24,0.2576,0.48,0.1045,2,110,112,Sore,Low,Low,66.08333333333333
87,2011-01-04,Spring,2011,Jan,18,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.26,0.2576,0.48,0.194,3,179,182,Sore,Low,Low,71.5
86,2011-01-04,Spring,2011,Jan,17,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.28,0.2727,0.48,0.2239,10,202,212,Siang,Low,Low,78.16666666666667
85,2011-01-04,Spring,2011,Jan,16,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.3,0.2879,0.49,0.2537,15,68,83,Siang,Low,Low,77.04166666666667
84,2011-01-04,Spring,2011,Jan,15,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.28,0.2727,0.52,0.2537,17,48,65,Siang,Low,Low,73.20833333333333
83,2011-01-04,Spring,2011,Jan,14,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.26,0.2576,0.52,0.2239,9,54,63,Siang,Low,Low,72.66666666666667
81,2011-01-04,Spring,2011,Jan,12,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.22,0.2273,0.51,0.1642,12,66,78,Siang,Low,Low,72.91666666666667
92,2011-01-04,Spring,2011,Jan,23,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.2,0.2273,0.69,0.0896,2,9,11,Sore,Low,Low,70.83333333333333
79,2011-01-04,Spring,2011,Jan,10,Not holiday,Tuesday,Workingday,Cloudy/Broken clouds,0.16,0.1364,0.69,0.3284,5,37,42,Pagi,Low,Low,66.04166666666667
70,2011-01-04,Spring,2011,Jan,0,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.16,0.1818,0.55,0.1045,0,5,5,Malam,Low,Low,64.125
71,2011-01-04,Spring,2011,Jan,1,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.16,0.1818,0.59,0.1045,0,2,2,Malam,Low,Low,64.125
72,2011-01-04,Spring,2011,Jan,2,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.14,0.1515,0.63,0.1343,0,1,1,Malam,Low,Low,64.125
73,2011-01-04,Spring,2011,Jan,4,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.14,0.1818,0.63,0.0896,0,2,2,Malam,Low,Low,64.08333333333333
80,2011-01-04,Spring,2011,Jan,11,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.22,0.2121,0.51,0.2985,7,50,57,Pagi,Low,Low,65.20833333333333
75,2011-01-04,Spring,2011,Jan,6,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.12,0.1515,0.74,0.1045,0,36,36,Pagi,Low,Low,66.5
76,2011-01-04,Spring,2011,Jan,7,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.12,0.1515,0.74,0.1343,2,92,94,Pagi,Low,Low,67.875
77,2011-01-04,Spring,2011,Jan,8,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.14,0.1515,0.69,0.1642,2,177,179,Pagi,Low,Low,68.91666666666667
78,2011-01-04,Spring,2011,Jan,9,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.16,0.1515,0.64,0.2239,2,98,100,Pagi,Low,Low,69.41666666666667
74,2011-01-04,Spring,2011,Jan,5,Not holiday,Tuesday,Workingday,Clear/Few clouds,0.12,0.1515,0.68,0.1045,0,4,4,Malam,Low,Low,67.75
105,2011-01-05,Spring,2011,Jan,13,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.28,0.2576,0.3,0.2985,6,65,71,Siang,Low,Low,68.04166666666667
114,2011-01-05,Spring,2011,Jan,22,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.18,0.197,0.55,0.1343,1,41,42,Sore,Low,Low,65.75
113,2011-01-05,Spring,2011,Jan,21,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.2,0.197,0.51,0.194,3,40,43,Sore,Low,Low,66.08333333333333
112,2011-01-05,Spring,2011,Jan,20,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.22,0.2273,0.47,0.1642,7,82,89,Sore,Low,Low,67.79166666666667
111,2011-01-05,Spring,2011,Jan,19,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.24,0.2576,0.38,0.1045,5,127,132,Sore,Low,Low,71.04166666666667
110,2011-01-05,Spring,2011,Jan,18,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.24,0.2424,0.38,0.1343,3,166,169,Sore,Low,Low,73.41666666666667
109,2011-01-05,Spring,2011,Jan,17,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.24,0.2273,0.38,0.194,4,186,190,Siang,Low,Low,73.75
108,2011-01-05,Spring,2011,Jan,16,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.3,0.3182,0.28,0.0896,4,85,89,Siang,Low,Low,68.625
107,2011-01-05,Spring,2011,Jan,15,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.3,0.2879,0.28,0.194,7,55,62,Siang,Low,Low,67.75
106,2011-01-05,Spring,2011,Jan,14,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.3,0.2879,0.28,0.194,10,52,62,Siang,Low,Low,67.625
115,2011-01-05,Spring,2011,Jan,23,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.2,0.2576,0.47,0.0,1,18,19,Sore,,Low,65.79166666666667
104,2011-01-05,Spring,2011,Jan,12,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.26,0.2273,0.33,0.3284,5,74,79,Siang,Low,Low,65.83333333333333
102,2011-01-05,Spring,2011,Jan,10,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.22,0.197,0.37,0.3284,4,53,57,Pagi,Low,Low,67.75
101,2011-01-05,Spring,2011,Jan,9,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.22,0.197,0.37,0.3284,6,109,115,Pagi,Low,Low,70.79166666666667
100,2011-01-05,Spring,2011,Jan,8,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.2,0.1818,0.4,0.2985,3,192,195,Pagi,Low,Low,78.70833333333333
99,2011-01-05,Spring,2011,Jan,7,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.18,0.1818,0.43,0.194,1,87,88,Pagi,Low,Low,82.29166666666667
98,2011-01-05,Spring,2011,Jan,6,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.2,0.197,0.47,0.2239,0,33,33,Pagi,Low,Low,83.625
97,2011-01-05,Spring,2011,Jan,5,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.22,0.2273,0.47,0.1642,0,3,3,Malam,Low,Low,83.66666666666667
96,2011-01-05,Spring,2011,Jan,4,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.24,0.2273,0.48,0.2239,0,2,2,Malam,Low,Low,81.375
95,2011-01-05,Spring,2011,Jan,2,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.16,0.197,0.74,0.0896,0,2,2,Malam,Low,Low,79.95833333333333
94,2011-01-05,Spring,2011,Jan,1,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.16,0.197,0.74,0.0896,0,6,6,Malam,Low,Low,76.29166666666667
93,2011-01-05,Spring,2011,Jan,0,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.2,0.2576,0.64,0.0,0,6,6,Malam,,Low,69.08333333333333
103,2011-01-05,Spring,2011,Jan,11,Not holiday,Wednesday,Workingday,Clear/Few clouds,0.26,0.2273,0.33,0.3284,12,34,46,Pagi,Low,Low,66.83333333333333
130,2011-01-06,Spring,2011,Jan,15,Not holiday,Thursday,Workingday,Clear/Few clouds,0.28,0.2727,0.36,0.0,8,54,62,Siang,,Low,69.25
131,2011-01-06,Spring,2011,Jan,16,Not holiday,Thursday,Workingday,Clear/Few clouds,0.26,0.2576,0.38,0.1642,12,74,86,Siang,Low,Low,69.875
132,2011-01-06,Spring,2011,Jan,17,Not holiday,Thursday,Workingday,Clear/Few clouds,0.22,0.2273,0.51,0.1642,9,163,172,Siang,Low,Low,75.29166666666667
133,2011-01-06,Spring,2011,Jan,18,Not holiday,Thursday,Workingday,Clear/Few clouds,0.22,0.2273,0.51,0.1343,5,158,163,Sore,Low,Low,80.29166666666667
129,2011-01-06,Spring,2011,Jan,14,Not holiday,Thursday,Workingday,Clear/Few clouds,0.28,0.2727,0.36,0.1642,11,59,70,Siang,Low,Low,79.5
135,2011-01-06,Spring,2011,Jan,20,Not holiday,Thursday,Workingday,Clear/Few clouds,0.2,0.2121,0.51,0.1642,3,66,69,Sore,Low,Low,76.875
136,2011-01-06,Spring,2011,Jan,21,Not holiday,Thursday,Workingday,Cloudy/Broken clouds,0.22,0.2121,0.55,0.2239,0,48,48,Sore,Low,Low,71.83333333333333
137,2011-01-06,Spring,2011,Jan,22,Not holiday,Thursday,Workingday,Cloudy/Broken clouds,0.22,0.2121,0.51,0.2836,1,51,52,Sore,Low,Low,66.08333333333333
138,2011-01-06,Spring,2011,Jan,23,Not holiday,Thursday,Workingday,Cloudy/Broken clouds,0.2,0.197,0.59,0.194,4,19,23,Sore,Low,Low,63.333333333333336
134,2011-01-06,Spring,2011,Jan,19,Not holiday,Thursday,Workingday,Clear/Few clouds,0.22,0.2576,0.55,0.0896,3,109,112,Sore,Low,Low,65.41666666666667
128,2011-01-06,Spring,2011,Jan,13,Not holiday,Thursday,Workingday,Clear/Few clouds,0.26,0.2727,0.35,0.1045,12,55,67,Siang,Low,Low,65.625
120,2011-01-06,Spring,2011,Jan,5,Not holiday,Thursday,Workingday,Cloudy/Broken clouds,0.14,0.1818,0.69,0.0896,0,4,4,Malam,Low,Low,65.0
126,2011-01-06,Spring,2011,Jan,11,Not holiday,Thursday,Workingday,Clear/Few clouds,0.22,0.2576,0.44,0.0896,2,57,59,Pagi,Low,Low,64.16666666666667
117,2011-01-06,Spring,2011,Jan,1,Not holiday,Thursday,Workingday,Clear/Few clouds,0.16,0.2273,0.64,0.0,0,4,4,Malam,,Low,61.958333333333336
118,2011-01-06,Spring,2011,Jan,2,Not holiday,Thursday,Workingday,Clear/Few clouds,0.16,0.2273,0.64,0.0,0,2,2,Malam,,Low,57.25
119,2011-01-06,Spring,2011,Jan,4,Not holiday,Thursday,Workingday,Cloudy/Broken clouds,0.16,0.197,0.64,0.0896,0,1,1,Malam,Low,Low,49.166666666666664
127,2011-01-06,Spring,2011,Jan,12,Not holiday,Thursday,Workingday,Clear/Few clouds,0.26,0.2879,0.35,0.0,6,78,84,Siang,,Low,49.0
116,2011-01-06,Spring,2011,Jan,0,Not holiday,Thursday,Workingday,Clear/Few clouds,0.18,0.2424,0.55,0.0,0,11,11,Malam,,Low,48.083333333333336
122,2011-01-06,Spring,2011,Jan,7,Not holiday,Thursday,Workingday,Cloudy/Broken clouds,0.16,0.2273,0.59,0.0,0,95,95,Pagi,,Low,51.916666666666664
123,2011-01-06,Spring,2011,Jan,8,Not holiday,Thursday,Workingday,Clear/Few clouds,0.16,0.2273,0.59,0.0,3,216,219,Pagi,,Low,60.958333333333336
124,2011-01-06,Spring,2011,Jan,9,Not holiday,Thursday,Workingday,Cloudy/Broken clouds,0.18,0.2424,0.51,0.0,6,116,122,Pagi,,Low,65.95833333333333
125,2011-01-06,Spring,2011,Jan,10,Not holiday,Thursday,Workingday,Clear/Few clouds,0.2,0.2576,0.47,0.0,3,42,45,Pagi,,Low,67.58333333333333
121,2011-01-06,Spring,2011,Jan,6,Not holiday,Thursday,Workingday,Cloudy/Broken clouds,0.14,0.1667,0.63,0.1045,0,36,36,Pagi,Low,Low,68.83333333333333
152,2011-01-07,Spring,2011,Jan,14,Not holiday,Friday,Workingday,Cloudy/Broken clouds,0.2,0.197,0.4,0.2537,7,43,50,Siang,Low,Low,69.0
161,2011-01-07,Spring,2011,Jan,23,Not holiday,Friday,Workingday,Cloudy/Broken clouds,0.18,0.197,0.51,0.1642,1,14,15,Sore,Low,Low,67.04166666666667
160,2011-01-07,Spring,2011,Jan,22,Not holiday,Friday,Workingday,Cloudy/Broken clouds,0.18,0.197,0.43,0.1642,2,34,36,Sore,Low,Low,64.95833333333333
159,2011-01-07,Spring,2011,Jan,21,Not holiday,Friday,Workingday,Clear/Few clouds,0.18,0.197,0.47,0.1343,0,39,39,Sore,Low,Low,59.416666666666664
158,2011-01-07,Spring,2011,Jan,20,Not holiday,Friday,Workingday,Clear/Few clouds,0.18,0.2121,0.47,0.1045,1,50,51,Sore,Low,Low,54.75
157,2011-01-07,Spring,2011,Jan,19,Not holiday,Friday,Workingday,Clear/Few clouds,0.16,0.197,0.55,0.0896,3,92,95,Sore,Low,Low,55.791666666666664
156,2011-01-07,Spring,2011,Jan,18,Not holiday,Friday,Workingday,Clear/Few clouds,0.2,0.2273,0.4,0.0896,7,116,123,Sore,Low,Low,58.041666666666664
155,2011-01-07,Spring,2011,Jan,17,Not holiday,Friday,Workingday,Cloudy/Broken clouds,0.2,0.2576,0.37,0.0,9,178,187,Siang,,Low,63.833333333333336
154,2011-01-07,Spring,2011,Jan,16,Not holiday,Friday,Workingday,Cloudy/Broken clouds,0.2,0.2121,0.37,0.1642,5,82,87,Siang,Low,Low,65.29166666666667
153,2011-01-07,Spring,2011,Jan,15,Not holiday,Friday,Workingday,Cloudy/Broken clouds,0.2,0.2121,0.37,0.1642,9,63,72,Siang,Low,Low,67.33333333333333
151,2011-01-07,Spring,2011,Jan,13,Not holiday,Friday,Workingday,Cloudy/Broken clouds,0.2,0.1818,0.37,0.2836,9,64,73,Siang,Low,Low,65.70833333333333
149,2011-01-07,Spring,2011,Jan,11,Not holiday,Friday,Workingday,Cloudy/Broken clouds,0.2,0.197,0.4,0.2239,19,48,67,Pagi,Low,Low,65.70833333333333
139,2011-01-07,Spring,2011,Jan,0,Not holiday,Friday,Workingday,Cloudy/Broken clouds,0.2,0.197,0.64,0.194,4,13,17,Malam,Low,Low,66.25
148,2011-01-07,Spring,2011,Jan,10,Not holiday,Friday,Workingday,Clear/Few clouds,0.22,0.197,0.37,0.3284,16,47,63,Pagi,Low,Low,66.41666666666667
147,2011-01-07,Spring,2011,Jan,9,Not holiday,Friday,Workingday,Clear/Few clouds,0.2,0.1818,0.47,0.2985,9,125,134,Pagi,Low,Low,71.83333333333333
146,2011-01-07,Spring,2011,Jan,8,Not holiday,Friday,Workingday,Clear/Few clouds,0.2,0.197,0.51,0.2537,20,190,210,Pagi,Low,Low,80.5
145,2011-01-07,Spring,2011,Jan,7,Not holiday,Friday,Workingday,Clear/Few clouds,0.2,0.2121,0.69,0.1343,8,76,84,Pagi,Low,Low,83.95833333333333
