index,date,season,year,month,is_holiday,weekday,is_working_day,weather_situation,temperature,apparent_temperature,humidity,windspeed,casual_rentals,registered_rentals,total_rentals,rental_category,windspeed_category,humidity_category,rolling_mean
63,2011-03-04,,2011,Mar,Not holiday,Fr,Workingday,Cloudy/Broken clouds,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Low,Low,Low,1918.7142857142858
64,2011-03-05,,2011,Mar,Not holiday,Sa,Not Workday,Cloudy/Broken clouds,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Low,Low,Low,1934.142857142857
65,2011-03-06,,2011,Mar,Not holiday,Su,Not Workday,Cloudy/Broken clouds,0.376522,0.366252,0.948261,0.343287,114,491,605,Low,Low,Low,1677.4285714285713
66,2011-03-07,,2011,Mar,Not holiday,Mo,Workingday,Clear/Few clouds,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Low,Low,Low,1738.2857142857142
67,2011-03-08,,2011,Mar,Not holiday,Tu,Workingday,Clear/Few clouds,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Low,Low,Low,1778.5714285714287
68,2011-03-09,,2011,Mar,Not holiday,We,Workingday,Cloudy/Broken clouds,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Low,Low,Low,1743.857142857143
70,2011-03-11,,2011,Mar,Not holiday,Fr,Workingday,Cloudy/Broken clouds,0.316522,0.305,0.649565,0.23297,247,1730,1977,Low,Low,Low,1785.5714285714287
71,2011-03-12,,2011,Mar,Not holiday,Sa,Not Workday,Clear/Few clouds,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Low,Low,Low,1812.4285714285713
72,2011-03-13,,2011,Mar,Not holiday,Su,Not Workday,Clear/Few clouds,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Low,Low,Low,1861.0
73,2011-03-14,,2011,Mar,Not holiday,Mo,Workingday,Clear/Few clouds,0.325217,0.332,0.496957,0.136926,359,1687,2046,Low,Low,Low,2066.8571428571427
74,2011-03-15,,2011,Mar,Not holiday,Tu,Workingday,Cloudy/Broken clouds,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Low,Low,Low,2093.1428571428573
75,2011-03-16,,2011,Mar,Not holiday,We,Workingday,Cloudy/Broken clouds,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Low,Low,Low,2101.5714285714284
76,2011-03-17,,2011,Mar,Not holiday,Th,Workingday,Clear/Few clouds,0.415,0.410333,0.602917,0.209579,424,2320,2744,Normal,Low,Low,2223.4285714285716
77,2011-03-18,,2011,Mar,Not holiday,Fr,Workingday,Clear/Few clouds,0.54,0.527009,0.525217,0.231017,884,2355,3239,Normal,Low,Low,2403.714285714286
78,2011-03-19,,2011,Mar,Not holiday,Sa,Not Workday,Clear/Few clouds,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Normal,Low,Low,2544.4285714285716
79,2011-03-20,,2011,Mar,Not holiday,Su,Not Workday,Clear/Few clouds,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Low,Low,Low,2552.1428571428573
80,2011-03-21,,2011,Mar,Not holiday,Mo,Workingday,Cloudy/Broken clouds,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Low,Low,Low,2556.5714285714284
81,2011-03-22,,2011,Mar,Not holiday,Tu,Workingday,Clear/Few clouds,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Normal,Low,Low,2649.0
82,2011-03-23,,2011,Mar,Not holiday,We,Workingday,Cloudy/Broken clouds,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Low,Low,Low,2638.8571428571427
83,2011-03-24,,2011,Mar,Not holiday,Th,Workingday,Cloudy/Broken clouds,0.285,0.270833,0.805833,0.243787,166,1699,1865,Low,Low,Low,2513.285714285714
84,2011-03-25,,2011,Mar,Not holiday,Fr,Workingday,Clear/Few clouds,0.264167,0.256312,0.495,0.230725,300,1910,2210,Low,Low,Low,2366.285714285714
85,2011-03-26,,2011,Mar,Not holiday,Sa,Not Workday,Clear/Few clouds,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Low,Low,Low,2277.5714285714284
86,2011-03-27,,2011,Mar,Not holiday,Su,Not Workday,Cloudy/Broken clouds,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Low,Low,Low,2166.4285714285716
87,2011-03-28,,2011,Mar,Not holiday,Mo,Workingday,Clear/Few clouds,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Low,Low,Low,2159.4285714285716
88,2011-03-29,,2011,Mar,Not holiday,Tu,Workingday,Clear/Few clouds,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Low,Low,Low,2119.714285714286
89,2011-03-30,,2011,Mar,Not holiday,We,Workingday,Cloudy/Broken clouds,0.3,0.29735,0.646667,0.172888,168,1368,1536,Low,Low,Low,2036.142857142857
90,2011-03-31,,2011,Mar,Not holiday,Th,Workingday,Light Rain/Snow,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Low,Low,Low,2010.4285714285713
91,2011-04-01,,2011,Apr,Not holiday,Fr,Workingday,Cloudy/Broken clouds,0.3,0.283454,0.68625,0.258708,307,1920,2227,Low,Low,Low,2012.857142857143
92,2011-04-02,,2011,Apr,Not holiday,Sa,Not Workday,Cloudy/Broken clouds,0.315,0.315637,0.65375,0.197146,898,1354,2252,Low,Low,Low,1978.0
93,2011-04-03,,2011,Apr,Not holiday,Su,Not Workday,Clear/Few clouds,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Normal,Low,Low,2200.285714285714
96,2011-04-06,,2011,Apr,Not holiday,We,Workingday,Clear/Few clouds,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Normal,Low,Low,2311.714285714286
97,2011-04-07,,2011,Apr,Not holiday,Th,Workingday,Clear/Few clouds,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Normal,Low,Low,2414.0
98,2011-04-08,,2011,Apr,Not holiday,Fr,Workingday,Cloudy/Broken clouds,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Low,Low,Low,2404.714285714286
99,2011-04-09,,2011,Apr,Not holiday,Sa,Not Workday,Cloudy/Broken clouds,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Low,Low,Low,2514.714285714286
100,2011-04-10,,2011,Apr,Not holiday,Su,Not Workday,Cloudy/Broken clouds,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Normal,Low,Low,2610.1428571428573
101,2011-04-11,,2011,Apr,Not holiday,Mo,Workingday,Cloudy/Broken clouds,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Normal,Low,Low,2766.714285714286
102,2011-04-12,,2011,Apr,Not holiday,Tu,Workingday,Cloudy/Broken clouds,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Low,Low,Low,2593.1428571428573
103,2011-04-13,,2011,Apr,Not holiday,We,Workingday,Cloudy/Broken clouds,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Low,Low,Low,2500.8571428571427
104,2011-04-14,,2011,Apr,Not holiday,Th,Workingday,Clear/Few clouds,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Normal,Low,Low,2518.8571428571427
105,2011-04-15,,2011,Apr,Holiday,Fr,Not Workday,Clear/Few clouds,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Normal,Low,Low,2755.285714285714
106,2011-04-16,,2011,Apr,Not holiday,Sa,Not Workday,Light Rain/Snow,0.430833,0.425492,0.888333,0.340808,121,674,795,Low,Low,Low,2518.1428571428573
107,2011-04-17,,2011,Apr,Not holiday,Su,Not Workday,Clear/Few clouds,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Normal,Low,Low,2639.4285714285716
108,2011-04-18,,2011,Apr,Not holiday,Mo,Workingday,Clear/Few clouds,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Normal,Low,Low,2651.0
109,2011-04-19,,2011,Apr,Not holiday,Tu,Workingday,Cloudy/Broken clouds,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Normal,Low,Low,2818.1428571428573
110,2011-04-20,,2011,Apr,Not holiday,We,Workingday,Clear/Few clouds,0.595,0.564392,0.614167,0.241925,613,3331,3944,Normal,Low,Low,3072.714285714286
111,2011-04-21,,2011,Apr,Not holiday,Th,Workingday,Clear/Few clouds,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Normal,Low,Low,3204.4285714285716
112,2011-04-22,,2011,Apr,Not holiday,Fr,Workingday,Cloudy/Broken clouds,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Low,Low,Low,2998.285714285714
113,2011-04-23,,2011,Apr,Not holiday,Sa,Not Workday,Cloudy/Broken clouds,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Normal,Low,Low,3461.285714285714
114,2011-04-24,,2011,Apr,Not holiday,Su,Not Workday,Cloudy/Broken clouds,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Normal,Low,Low,3525.1428571428573
115,2011-04-25,,2011,Apr,Not holiday,Mo,Workingday,Clear/Few clouds,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Normal,Low,Low,3617.1428571428573
116,2011-04-26,,2011,Apr,Not holiday,Tu,Workingday,Clear/Few clouds,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Normal,Low,Low,3788.0
117,2011-04-27,,2011,Apr,Not holiday,We,Workingday,Cloudy/Broken clouds,0.62,0.575142,0.835417,0.3122,547,3325,3872,Normal,Low,Low,3777.714285714286
118,2011-04-28,,2011,Apr,Not holiday,Th,Workingday,Cloudy/Broken clouds,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Normal,Low,Low,3759.0
119,2011-04-29,,2011,Apr,Not holiday,Fr,Workingday,Clear/Few clouds,0.51,0.497463,0.457083,0.240063,878,3717,4595,Normal,Low,Low,4175.0
120,2011-04-30,,2011,Apr,Not holiday,Sa,Not Workday,Clear/Few clouds,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Normal,Low,Low,4357.285714285715
121,2011-05-01,,2011,May,Not holiday,Su,Not Workday,Cloudy/Broken clouds,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Normal,Low,Low,4237.285714285715
122,2011-05-02,,2011,May,Not holiday,Mo,Workingday,Cloudy/Broken clouds,0.549167,0.532833,0.73,0.183454,847,3554,4401,Normal,Low,Low,4284.142857142857
123,2011-05-03,,2011,May,Not holiday,Tu,Workingday,Cloudy/Broken clouds,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Normal,Low,Low,4291.428571428572
124,2011-05-04,,2011,May,Not holiday,We,Workingday,Cloudy/Broken clouds,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Normal,Low,Low,4114.428571428572
125,2011-05-05,,2011,May,Not holiday,Th,Workingday,Clear/Few clouds,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Normal,Low,Low,4168.0
126,2011-05-06,,2011,May,Not holiday,Fr,Workingday,Clear/Few clouds,0.479167,0.474117,0.59,0.228246,894,3714,4608,Normal,Low,Low,4169.857142857143
127,2011-05-07,,2011,May,Not holiday,Sa,Not Workday,Clear/Few clouds,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Normal,Low,Low,4084.4285714285716
128,2011-05-08,,2011,May,Not holiday,Su,Not Workday,Clear/Few clouds,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Normal,Low,Low,4224.714285714285
129,2011-05-09,,2011,May,Not holiday,Mo,Workingday,Clear/Few clouds,0.5325,0.525246,0.58875,0.176,664,3698,4362,Normal,Low,Low,4219.142857142857
130,2011-05-10,,2011,May,Not holiday,Tu,Workingday,Clear/Few clouds,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Normal,Low,Low,4269.428571428572
131,2011-05-11,,2011,May,Not holiday,We,Workingday,Clear/Few clouds,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Normal,Low,Low,4490.714285714285
132,2011-05-12,,2011,May,Not holiday,Th,Workingday,Clear/Few clouds,0.535,0.523363,0.7475,0.189667,695,4169,4864,Normal,Low,Low,4552.285714285715
133,2011-05-13,,2011,May,Not holiday,Fr,Workingday,Cloudy/Broken clouds,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Normal,Low,Low,4480.428571428572
134,2011-05-14,,2011,May,Not holiday,Sa,Not Workday,Cloudy/Broken clouds,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Normal,Low,Low,4294.0
135,2011-05-15,,2011,May,Not holiday,Su,Not Workday,Cloudy/Broken clouds,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Normal,Low,Low,4325.428571428572
136,2011-05-16,,2011,May,Not holiday,Mo,Workingday,Clear/Few clouds,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Normal,Low,Low,4267.714285714285
137,2011-05-17,,2011,May,Not holiday,Tu,Workingday,Cloudy/Broken clouds,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Normal,Low,Low,4170.571428571428
138,2011-05-18,,2011,May,Not holiday,We,Workingday,Cloudy/Broken clouds,0.55,0.527158,0.87,0.201492,536,3319,3855,Normal,Low,Low,4123.857142857143
139,2011-05-19,,2011,May,Not holiday,Th,Workingday,Cloudy/Broken clouds,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Normal,Low,Low,4082.5714285714284
140,2011-05-20,,2011,May,Not holiday,Fr,Workingday,Clear/Few clouds,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Normal,Low,Low,4198.571428571428
141,2011-05-21,,2011,May,Not holiday,Sa,Not Workday,Clear/Few clouds,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Normal,Low,Low,4540.857142857143
142,2011-05-22,,2011,May,Not holiday,Su,Not Workday,Clear/Few clouds,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Normal,Low,Low,4556.142857142857
143,2011-05-23,,2011,May,Not holiday,Mo,Workingday,Cloudy/Broken clouds,0.631667,0.590296,0.81,0.233842,836,3438,4274,Normal,Low,Low,4601.285714285715
144,2011-05-24,,2011,May,Not holiday,Tu,Workingday,Cloudy/Broken clouds,0.66,0.604813,0.740833,0.207092,659,3833,4492,Normal,Low,Low,4654.0
145,2011-05-25,,2011,May,Not holiday,We,Workingday,Clear/Few clouds,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Normal,Low,Low,4814.428571428572
146,2011-05-26,,2011,May,Not holiday,Th,Workingday,Clear/Few clouds,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Normal,Low,Low,4829.0
147,2011-05-27,,2011,May,Not holiday,Fr,Workingday,Clear/Few clouds,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Normal,Low,Low,4795.0
148,2011-05-28,,2011,May,Not holiday,Sa,Not Workday,Clear/Few clouds,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Normal,Low,Low,4645.428571428572
150,2011-05-30,,2011,May,Holiday,Mo,Not Workday,Clear/Few clouds,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Normal,Low,Low,4565.142857142857
151,2011-05-31,,2011,May,Not holiday,Tu,Workingday,Clear/Few clouds,0.775,0.725383,0.636667,0.111329,673,3309,3982,Normal,Low,Low,4523.428571428572
152,2011-06-01,,2011,Jun,Not holiday,We,Workingday,Cloudy/Broken clouds,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Normal,Low,Low,4449.428571428572
153,2011-06-02,,2011,Jun,Not holiday,Th,Workingday,Clear/Few clouds,0.715,0.643942,0.305,0.292287,736,4232,4968,Normal,Low,Low,4448.0
154,2011-06-03,,2011,Jun,Not holiday,Fr,Workingday,Clear/Few clouds,0.62,0.587133,0.354167,0.253121,898,4414,5312,Normal,Low,Low,4538.714285714285
155,2011-06-04,,2011,Jun,Not holiday,Sa,Not Workday,Clear/Few clouds,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Normal,Low,Low,4633.428571428572
156,2011-06-05,,2011,Jun,Not holiday,Su,Not Workday,Cloudy/Broken clouds,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Normal,Low,Low,4654.571428571428
157,2011-06-06,,2011,Jun,Not holiday,Mo,Workingday,Clear/Few clouds,0.678333,0.621858,0.6,0.121896,673,3875,4548,Normal,Low,Low,4718.857142857143
158,2011-06-07,,2011,Jun,Not holiday,Tu,Workingday,Clear/Few clouds,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Normal,Low,Low,4840.428571428572
159,2011-06-08,,2011,Jun,Not holiday,We,Workingday,Clear/Few clouds,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Normal,Low,Low,4901.428571428572
160,2011-06-09,,2011,Jun,Not holiday,Th,Workingday,Cloudy/Broken clouds,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Normal,Low,Low,4751.0
161,2011-06-10,,2011,Jun,Not holiday,Fr,Workingday,Clear/Few clouds,0.755,0.703292,0.605,0.140554,815,3771,4586,Normal,Low,Low,4647.285714285715
162,2011-06-11,,2011,Jun,Not holiday,Sa,Not Workday,Clear/Few clouds,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Normal,Low,Low,4593.571428571428
163,2011-06-12,,2011,Jun,Not holiday,Su,Not Workday,Clear/Few clouds,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Normal,Low,Low,4529.857142857143
164,2011-06-13,,2011,Jun,Not holiday,Mo,Workingday,Clear/Few clouds,0.635,0.601654,0.494583,0.30535,863,4157,5020,Normal,Low,Low,4597.285714285715
