casual_rentals,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
89,16,29,11950,5,5,5,555,Best Customers
90,66,26,8723,4,5,4,454,Almost Lost
91,92,32,11096,4,5,5,455,Regular Customers
92,16,20,8343,5,5,4,554,Best Customers
93,73,20,7546,4,5,4,454,Almost Lost
94,50,28,12447,4,5,5,455,Regular Customers
95,16,19,8999,5,5,4,554,Best Customers
96,74,23,10570,4,5,5,455,Regular Customers
97,122,22,6750,4,5,4,454,Almost Lost
98,64,26,9428,4,5,4,454,Almost Lost
99,66,22,7483,4,5,4,454,Almost Lost
100,85,20,8909,4,5,4,454,Almost Lost
101,39,22,7525,5,5,4,554,Best Customers
102,49,21,7281,4,5,4,454,Almost Lost
103,51,14,5926,4,5,3,453,Almost Lost
104,94,18,6677,4,5,3,453,Almost Lost
105,49,17,6149,4,5,3,453,Almost Lost
106,29,14,7726,5,5,4,554,Best Customers
107,108,15,7003,4,5,4,454,Almost Lost
108,49,21,8957,4,5,4,454,Almost Lost
109,80,22,10188,4,5,4,454,Almost Lost
110,30,16,5444,5,5,3,553,Regular Customers
111,29,19,7148,5,5,4,554,Best Customers
112,49,17,8294,4,5,4,454,Almost Lost
113,30,20,7138,5,5,4,554,Best Customers
114,130,15,5641,4,5,3,453,Almost Lost
115,346,1,3163,2,1,1,211,Lost Customers
117,714,1,1000,1,1,1,111,Regular Customers
118,481,1,1996,2,1,1,211,Lost Customers
120,253,4,5549,3,5,3,353,Regular Customers
121,625,1,795,1,1,1,111,Regular Customers
123,34,3,6742,5,5,4,554,Best Customers
126,336,2,6218,3,4,3,343,Regular Customers
127,349,1,2935,2,1,1,211,Lost Customers
130,347,1,3292,2,1,1,211,Lost Customers
131,729,1,801,1,1,1,111,Regular Customers
135,321,1,3922,3,1,2,312,Regular Customers
137,671,1,1851,1,1,1,111,Regular Customers
139,410,2,4970,2,4,2,242,Regular Customers
140,361,3,6183,2,5,3,253,Regular Customers
141,320,1,4169,3,1,2,312,Regular Customers
143,385,1,3310,2,1,1,211,Lost Customers
145,343,2,4249,2,4,2,242,Regular Customers
148,724,1,1510,1,1,1,111,Regular Customers
149,689,1,1746,1,1,1,111,Regular Customers
150,389,2,4308,2,4,2,242,Regular Customers
153,480,1,1842,2,1,1,211,Lost Customers
155,373,2,4534,2,4,2,242,Regular Customers
159,2,1,1341,5,1,1,511,Regular Customers
163,314,3,9816,3,5,4,354,Regular Customers
166,648,1,1865,1,1,1,111,Regular Customers
168,642,1,1536,1,1,1,111,Regular Customers
172,633,1,1471,1,1,1,111,Regular Customers
173,356,1,3598,2,1,1,211,Lost Customers
174,7,2,4134,5,4,2,542,Regular Customers
177,619,1,1683,1,1,1,111,Regular Customers
178,381,2,7317,2,4,4,244,Regular Customers
179,641,1,1685,1,1,1,111,Regular Customers
181,382,1,3709,2,1,1,211,Lost Customers
182,396,1,3727,2,1,1,211,Lost Customers
186,706,1,1985,1,1,1,111,Regular Customers
188,397,1,3613,2,1,1,211,Lost Customers
190,333,2,6694,3,4,3,343,Regular Customers
191,663,1,1891,1,1,1,111,Regular Customers
192,324,1,2169,3,1,1,311,Lost Customers
195,252,2,4321,3,4,2,342,Regular Customers
196,344,1,1977,2,1,1,211,Lost Customers
198,33,1,5260,5,1,3,513,Regular Customers
199,328,1,4375,3,1,2,312,Regular Customers
203,301,2,5454,3,4,3,343,Regular Customers
204,482,1,2710,2,1,1,211,Lost Customers
206,329,1,3784,3,1,1,311,Lost Customers
209,628,1,2162,1,1,1,111,Regular Customers
212,14,1,4585,5,1,2,512,Regular Customers
214,668,1,1944,1,1,1,111,Regular Customers
216,377,1,3750,2,1,1,211,Lost Customers
217,350,2,4714,2,4,2,242,Regular Customers
218,684,1,2115,1,1,1,111,Regular Customers
220,379,2,5196,2,4,3,243,Regular Customers
221,10,2,7579,5,4,4,544,Best Customers
222,644,2,3276,1,4,1,141,Regular Customers
226,492,1,1115,2,1,1,211,Lost Customers
227,325,2,6899,3,4,4,344,Regular Customers
229,307,1,4363,3,1,2,312,Regular Customers
231,670,1,2134,1,1,1,111,Regular Customers
233,392,1,3811,2,1,1,211,Lost Customers
240,431,1,2659,2,1,1,211,Lost Customers
243,32,1,5323,5,1,3,513,Regular Customers
244,340,3,7898,2,5,4,254,Regular Customers
245,409,1,3392,2,1,1,211,Lost Customers
246,304,2,6681,3,4,3,343,Regular Customers
247,4,2,4091,5,4,2,542,Regular Customers
251,715,1,1204,1,1,1,111,Regular Customers
253,308,2,8189,3,4,4,344,Regular Customers
254,368,2,4847,2,4,2,242,Regular Customers
255,369,2,4935,2,4,2,242,Regular Customers
257,629,1,2034,1,1,1,111,Regular Customers
258,465,1,2395,2,1,1,211,Lost Customers
259,683,1,2475,1,1,1,111,Regular Customers
260,378,1,3403,2,1,1,211,Lost Customers
261,388,1,3620,2,1,1,211,Lost Customers
268,395,1,3940,2,1,2,212,Regular Customers
269,339,2,7553,2,4,4,244,Regular Customers
275,380,1,2739,2,1,1,211,Lost Customers
282,20,1,5501,5,1,3,513,Regular Customers
284,351,1,2311,2,1,1,211,Lost Customers
288,688,1,1472,1,1,1,111,Regular Customers
289,657,1,2056,1,1,1,111,Regular Customers
290,445,1,2913,2,1,1,211,Lost Customers
300,647,1,2210,1,1,1,111,Regular Customers
303,372,1,754,2,1,1,211,Lost Customers
304,334,1,4579,3,1,2,312,Regular Customers
305,418,1,4109,2,1,2,212,Regular Customers
307,360,2,6325,2,4,3,243,Regular Customers
309,36,1,2424,5,1,1,511,Regular Customers
310,19,2,9470,5,4,4,544,Best Customers
314,11,1,4128,5,1,2,512,Regular Customers
315,90,1,4639,4,1,2,412,Regular Customers
316,664,1,2133,1,1,1,111,Regular Customers
317,643,1,2425,1,1,1,111,Regular Customers
318,330,2,6921,3,4,4,344,Regular Customers
320,46,1,5445,4,1,3,413,Regular Customers
321,656,1,2192,1,1,1,111,Regular Customers
324,335,1,4509,3,1,2,312,Regular Customers
325,305,1,4990,3,1,3,313,Regular Customers
326,54,1,5035,4,1,3,413,Regular Customers
327,48,1,4094,4,1,2,412,Regular Customers
329,21,1,5170,5,1,3,513,Regular Customers
330,455,1,3570,2,1,1,211,Lost Customers
331,26,2,6714,5,4,3,543,Loyal Customers
333,12,2,7760,5,4,4,544,Best Customers
337,35,1,5087,5,1,3,513,Regular Customers
340,25,2,10690,5,4,5,545,Best Customers
342,231,1,2843,3,1,1,311,Lost Customers
347,257,1,4367,3,1,2,312,Regular Customers
349,24,2,9162,5,4,4,544,Best Customers
354,694,1,1623,1,1,1,111,Regular Customers
359,658,1,2046,1,1,1,111,Regular Customers
362,31,2,9337,5,4,4,544,Best Customers
364,1,1,1796,5,1,1,511,Regular Customers
370,425,1,4186,2,1,2,212,Regular Customers
371,104,1,4073,4,1,2,412,Regular Customers
373,47,2,9530,4,4,4,444,Regular Customers
376,419,1,4205,2,1,2,212,Regular Customers
377,386,1,2743,2,1,1,211,Lost Customers
378,56,1,5259,4,1,3,413,Regular Customers
384,331,1,2832,3,1,1,311,Lost Customers
394,313,1,4773,3,1,2,312,Regular Customers
397,687,1,1589,1,1,1,111,Regular Customers
401,651,1,2077,1,1,1,111,Regular Customers
404,432,1,3894,2,1,1,211,Lost Customers
408,8,1,1787,5,1,1,511,Regular Customers
409,622,1,3204,1,1,1,111,Regular Customers
410,426,1,4068,2,1,2,212,Regular Customers
413,635,1,2808,1,1,1,111,Regular Customers
417,479,1,3544,2,1,1,211,Lost Customers
419,61,1,5566,4,1,3,413,Regular Customers
424,655,2,4713,1,4,2,142,Regular Customers
425,18,1,5532,5,1,3,513,Regular Customers
428,473,1,3659,2,1,1,211,Lost Customers
429,17,1,5611,5,1,3,513,Regular Customers
430,371,1,1317,2,1,1,211,Lost Customers
432,299,1,4916,3,1,2,312,Regular Customers
433,13,1,5557,5,1,3,513,Regular Customers
435,494,1,3542,2,1,1,211,Lost Customers
438,468,1,3641,2,1,1,211,Lost Customers
439,0,2,7068,5,4,4,544,Best Customers
440,6,2,4381,5,4,2,542,Regular Customers
441,22,1,3228,5,1,1,511,Regular Customers
449,42,2,9694,4,4,4,444,Regular Customers
456,430,1,3747,2,1,1,211,Lost Customers
460,650,1,2703,1,1,1,111,Regular Customers
466,55,2,11672,4,4,5,445,Regular Customers
467,341,2,7844,2,4,4,244,Regular Customers
470,423,1,4046,2,1,2,212,Regular Customers
472,645,1,1693,1,1,1,111,Regular Customers
475,249,1,5026,3,1,3,313,Regular Customers
477,202,2,9092,3,4,4,344,Regular Customers
480,457,2,6336,2,4,3,243,Regular Customers
482,264,1,4862,3,1,2,312,Regular Customers
484,45,1,5698,4,1,3,413,Regular Customers
486,454,1,4456,2,1,2,212,Regular Customers
491,367,1,2999,2,1,1,211,Lost Customers
502,315,2,6319,3,4,3,343,Regular Customers
513,579,1,3974,1,1,2,112,Regular Customers
515,309,1,3389,3,1,1,311,Lost Customers
516,312,1,5062,3,1,3,313,Regular Customers
518,251,1,5633,3,1,3,313,Regular Customers
529,444,2,6911,2,4,4,244,Regular Customers
531,279,1,5102,3,1,3,313,Regular Customers
532,37,1,2277,5,1,1,511,Regular Customers
533,213,1,4127,3,1,2,312,Regular Customers
534,41,1,5634,4,1,3,413,Regular Customers
536,593,1,3855,1,1,1,111,Regular Customers
538,15,1,3786,5,1,1,511,Regular Customers
539,467,1,4352,2,1,2,212,Regular Customers
545,564,1,3767,1,1,1,111,Regular Customers
547,614,1,3872,1,2,1,121,Regular Customers
548,290,1,4378,3,2,2,322,Lost Customers
550,600,1,4182,1,2,2,122,Regular Customers
551,27,1,6606,5,2,3,523,Big Spenders
555,28,2,11029,5,4,5,545,Best Customers
558,337,1,3243,2,2,1,221,Regular Customers
559,453,1,4826,2,2,2,222,Regular Customers
560,403,1,1495,2,2,1,221,Regular Customers
562,528,1,3387,1,2,1,121,Regular Customers
563,571,1,3915,1,2,1,121,Regular Customers
568,525,1,3840,1,2,1,121,Regular Customers
569,613,1,4058,1,2,2,122,Regular Customers
571,634,1,3141,1,2,1,121,Regular Customers
579,682,1,2927,1,2,1,121,Regular Customers
595,413,1,4486,2,2,2,222,Regular Customers
599,358,1,3425,2,2,1,221,Regular Customers
601,83,1,6392,4,2,3,423,Regular Customers
603,608,1,4451,1,2,2,122,Regular Customers
606,522,1,4390,1,2,2,122,Regular Customers
611,116,1,6203,4,2,3,423,Regular Customers
613,621,1,3944,1,2,2,122,Regular Customers
614,606,1,4433,1,2,2,122,Regular Customers
615,40,1,5146,5,2,3,523,Big Spenders
616,456,1,2918,2,2,1,221,Regular Customers
618,59,2,8536,4,4,4,444,Regular Customers
620,236,1,4717,3,2,2,322,Lost Customers
625,230,1,5115,3,2,3,323,Regular Customers
630,224,1,4359,3,2,2,322,Lost Customers
632,529,1,3784,1,2,1,121,Regular Customers
634,393,1,3485,2,2,1,221,Regular Customers
637,440,1,4748,2,2,2,222,Regular Customers
639,452,3,10382,2,5,4,254,Regular Customers
640,667,1,2077,1,2,1,121,Regular Customers
642,626,1,3126,1,2,1,121,Regular Customers
644,3,2,7427,5,4,4,544,Best Customers
647,474,1,4785,2,2,2,222,Regular Customers
653,196,3,15678,3,5,5,355,Regular Customers
655,250,1,6196,3,2,3,323,Regular Customers
659,587,1,4492,1,2,2,122,Regular Customers
661,558,1,4507,1,2,2,122,Regular Customers
662,538,1,4258,1,2,2,122,Regular Customers
663,263,1,5409,3,2,3,323,Regular Customers
664,602,1,4362,1,2,2,122,Regular Customers
665,245,2,8057,3,4,4,344,Regular Customers
667,243,2,10732,3,4,5,345,Regular Customers
668,502,1,4694,2,2,2,222,Regular Customers
669,623,1,3429,1,2,1,121,Regular Customers
670,521,1,3846,2,2,1,221,Regular Customers
673,574,2,8530,1,4,4,144,Regular Customers
674,278,1,5698,3,2,3,323,Regular Customers
676,437,2,8705,2,4,4,244,Regular Customers
678,594,2,8523,1,4,4,144,Regular Customers
684,462,1,4630,2,2,2,222,Regular Customers
686,365,1,2294,2,2,1,221,Regular Customers
688,488,1,5058,2,2,3,223,Regular Customers
690,476,1,4713,2,2,2,222,Regular Customers
691,469,1,4539,2,2,2,222,Regular Customers
692,542,2,8145,1,4,4,144,Regular Customers
694,601,2,7205,1,4,4,144,Regular Customers
695,433,2,9551,2,4,4,244,Regular Customers
699,434,2,8197,2,4,4,244,Regular Customers
701,475,1,4763,2,2,2,222,Regular Customers
706,394,1,3614,2,2,1,221,Regular Customers
709,52,1,5992,4,2,3,423,Regular Customers
710,302,1,3423,3,2,1,321,Lost Customers
713,441,1,4570,2,2,2,222,Regular Customers
721,503,1,4725,2,2,2,222,Regular Customers
723,539,1,4086,1,2,2,122,Regular Customers
724,660,1,2132,1,2,1,121,Regular Customers
727,566,1,4891,1,2,2,122,Regular Customers
728,89,1,7572,4,2,4,424,Regular Customers
729,490,2,8900,2,4,4,244,Regular Customers
732,552,1,4648,1,2,2,122,Regular Customers
735,592,1,4575,1,2,2,122,Regular Customers
736,578,1,4968,1,2,2,122,Regular Customers
738,237,1,5728,3,2,3,323,Regular Customers
740,586,1,4978,1,2,2,122,Regular Customers
742,472,1,4760,2,2,2,222,Regular Customers
745,215,2,11044,3,4,5,345,Regular Customers
746,557,1,4790,1,2,2,122,Regular Customers
747,164,1,5870,3,2,3,323,Regular Customers
748,537,1,4342,1,2,2,122,Regular Customers
750,524,1,4590,1,2,2,122,Regular Customers
751,95,1,7393,4,2,4,424,Regular Customers
752,531,1,4541,1,2,2,122,Regular Customers
753,73,1,5424,4,2,3,423,Regular Customers
754,543,1,4592,1,2,2,122,Regular Customers
755,523,1,4656,1,2,2,122,Regular Customers
758,585,1,4677,1,2,2,122,Regular Customers
760,77,1,5875,4,2,3,423,Regular Customers
762,293,1,5847,3,2,3,323,Regular Customers
763,91,2,11611,4,4,5,445,Regular Customers
764,242,1,6421,3,2,3,323,Regular Customers
766,222,1,5260,3,2,3,323,Regular Customers
767,16,1,5047,5,2,3,523,Big Spenders
768,493,1,4661,2,2,2,222,Regular Customers
769,565,1,5180,1,2,3,123,Regular Customers
773,595,2,8031,1,4,4,144,Regular Customers
774,559,1,4835,1,2,2,122,Regular Customers
775,338,3,13565,2,5,5,255,Regular Customers
778,193,1,5905,3,2,3,323,Regular Customers
780,82,1,7691,4,2,4,424,Regular Customers
781,85,1,3510,4,2,1,421,Regular Customers
783,487,1,5115,2,2,3,223,Regular Customers
784,544,1,4629,1,2,2,122,Regular Customers
787,96,2,11253,4,4,5,445,Regular Customers
788,103,1,7591,4,2,4,424,Regular Customers
795,68,1,7693,4,2,4,424,Regular Customers
796,276,1,5459,3,2,3,323,Regular Customers
797,500,1,4153,2,2,2,222,Regular Customers
799,166,2,10289,3,4,4,344,Regular Customers
801,517,1,4845,2,2,2,222,Regular Customers
810,400,1,3071,2,2,1,221,Regular Customers
812,508,1,4792,2,2,2,222,Regular Customers
815,570,1,4586,1,2,2,122,Regular Customers
819,223,2,11991,3,4,5,345,Regular Customers
829,185,1,5463,3,2,3,323,Regular Customers
830,70,2,12260,4,4,5,445,Regular Customers
832,117,1,7112,4,2,4,424,Regular Customers
833,497,1,4758,2,2,2,222,Regular Customers
834,81,2,13703,4,4,5,445,Regular Customers
836,588,1,4274,1,2,2,122,Regular Customers
838,294,1,5298,3,2,3,323,Regular Customers
841,69,2,11924,4,4,5,445,Regular Customers
845,97,1,7538,4,2,4,424,Regular Customers
846,256,2,10891,3,4,5,345,Regular Customers
847,609,1,4401,1,2,2,122,Regular Customers
848,551,1,5225,1,2,3,123,Regular Customers
854,553,1,4708,1,2,2,122,Regular Customers
855,630,1,3348,1,2,1,121,Regular Customers
863,563,2,9864,1,4,4,144,Regular Customers
867,118,1,6864,4,2,4,424,Regular Customers
871,584,1,4679,1,2,2,122,Regular Customers
872,194,1,6211,3,2,3,323,Regular Customers
874,84,1,5478,4,2,3,423,Regular Customers
875,67,2,12086,4,4,5,445,Regular Customers
878,612,1,4595,1,2,2,122,Regular Customers
879,632,1,2455,1,2,1,121,Regular Customers
880,216,1,5743,3,2,3,323,Regular Customers
884,509,2,8019,2,4,4,244,Regular Customers
885,428,1,3331,2,2,1,221,Regular Customers
888,165,2,11675,3,4,5,345,Regular Customers
891,88,1,7328,4,2,4,424,Regular Customers
892,29,1,4649,5,2,2,522,Regular Customers
894,605,1,4608,1,2,2,122,Regular Customers
898,577,2,7564,1,4,4,144,Regular Customers
902,597,1,3409,1,2,1,121,Regular Customers
904,182,1,6227,3,2,3,323,Regular Customers
905,266,1,5585,3,2,3,323,Regular Customers
907,510,1,4602,2,2,2,222,Regular Customers
909,591,1,4917,1,2,2,122,Regular Customers
921,167,2,13665,3,4,5,345,Regular Customers
922,43,2,12203,4,4,5,445,Regular Customers
935,125,1,7040,4,2,4,424,Regular Customers
939,102,1,7720,4,2,4,424,Regular Customers
943,408,1,3663,2,2,1,221,Regular Customers
949,451,2,10115,2,4,4,244,Regular Customers
951,30,1,5191,5,2,3,523,Big Spenders
952,421,1,3649,2,2,1,221,Regular Customers
954,174,1,6290,3,3,3,333,Regular Customers
955,39,1,2425,5,3,1,531,Regular Customers
956,303,1,4066,3,3,2,332,Regular Customers
964,192,1,5823,3,3,3,333,Regular Customers
968,153,4,25160,4,5,5,455,Regular Customers
969,556,1,4991,1,3,3,133,Regular Customers
975,173,1,7264,3,3,4,334,Regular Customers
979,75,1,7461,4,3,4,434,Regular Customers
981,646,1,2496,1,3,1,131,Regular Customers
982,287,2,8570,3,4,4,344,Regular Customers
983,151,1,7261,4,3,4,434,Regular Customers
987,527,1,3285,1,3,1,131,Regular Customers
989,126,2,13608,4,4,5,445,Regular Customers
991,229,1,7424,3,3,4,334,Regular Customers
997,292,1,6312,3,3,3,333,Regular Customers
998,175,1,6569,3,3,3,333,Regular Customers
1001,98,1,7436,4,3,4,434,Regular Customers
1004,414,1,3717,2,3,1,231,Regular Customers
1005,291,1,6192,3,3,3,333,Regular Customers
1008,74,2,13782,4,4,5,445,Regular Customers
1014,248,1,6233,3,3,3,333,Regular Customers
1017,203,1,6664,3,3,3,333,Regular Customers
1022,105,1,6869,4,3,4,434,Regular Customers
1023,514,1,4866,2,3,2,232,Regular Customers
1026,133,2,13102,4,4,5,445,Regular Customers
1027,208,2,12570,3,4,5,345,Regular Customers
1029,58,1,5138,4,3,3,433,Regular Customers
1031,545,1,4665,1,3,2,132,Regular Customers
1032,172,1,7446,3,3,4,334,Regular Customers
1033,282,1,3372,3,3,1,331,Regular Customers
1036,158,1,6861,4,3,4,434,Regular Customers
1038,207,1,7494,3,3,4,334,Regular Customers
1040,154,1,7105,4,3,4,434,Regular Customers
1045,94,2,14919,4,4,5,445,Regular Customers
1047,652,1,2471,1,3,1,131,Regular Customers
1050,110,2,11476,4,4,5,445,Regular Customers
1051,286,2,10998,3,4,5,345,Regular Customers
1052,181,1,6660,3,3,3,333,Regular Customers
1054,109,1,7804,4,3,4,434,Regular Customers
1058,271,1,6436,3,3,3,333,Regular Customers
1059,221,1,6770,3,3,4,334,Regular Customers
1060,80,1,7282,4,3,4,434,Regular Customers
1065,143,1,5786,4,3,3,433,Regular Customers
1069,241,1,6296,3,3,3,333,Regular Customers
1070,111,2,12288,4,4,5,445,Regular Customers
1071,210,1,6998,3,3,4,334,Regular Customers
1074,152,1,7580,4,3,4,434,Regular Customers
1077,187,2,14777,3,4,5,345,Regular Customers
1081,132,1,7006,4,3,4,434,Regular Customers
1088,168,1,6830,3,3,4,334,Regular Customers
1094,131,1,7375,4,3,4,434,Regular Customers
1095,402,1,2792,2,3,1,231,Regular Customers
1097,49,1,6269,4,3,3,433,Regular Customers
1100,214,1,7338,3,3,4,334,Regular Customers
1118,112,1,7525,4,3,4,434,Regular Customers
1120,247,1,4220,3,3,2,332,Regular Customers
1122,285,1,6230,3,3,3,333,Regular Customers
1128,139,1,6784,4,3,4,434,Regular Customers
1135,161,1,6966,3,3,4,334,Regular Customers
1138,610,1,3351,1,3,1,131,Regular Customers
1139,189,1,6779,3,3,4,334,Regular Customers
1140,160,1,7592,3,3,4,334,Regular Customers
1153,23,1,5582,5,3,3,533,Loyal Customers
1156,422,1,3926,2,3,2,232,Regular Customers
1172,123,1,7713,4,3,4,434,Regular Customers
1173,201,1,7421,3,3,4,334,Regular Customers
1177,124,1,7697,4,3,4,434,Regular Customers
1180,200,1,7363,3,3,4,334,Regular Customers
1182,66,1,7444,4,3,4,434,Regular Customers
1188,631,1,2895,1,3,1,131,Regular Customers
1192,270,1,6457,3,3,3,333,Regular Customers
1196,144,1,7286,4,3,4,434,Regular Customers
1198,138,2,13717,4,4,5,445,Regular Customers
1201,57,1,5107,4,3,3,433,Regular Customers
1203,176,1,4672,3,3,2,332,Regular Customers
1207,140,1,6883,4,3,4,434,Regular Customers
1208,134,2,10485,4,4,4,444,Regular Customers
1233,147,1,7013,4,3,4,434,Regular Customers
1236,483,1,3351,2,3,1,231,Regular Customers
1242,228,1,7384,3,3,4,334,Regular Customers
1246,549,1,5362,1,3,3,133,Regular Customers
1249,401,2,6941,2,4,4,244,Regular Customers
1250,101,1,8167,4,3,4,434,Regular Customers
1252,262,1,6398,3,3,3,333,Regular Customers
1259,157,1,6904,4,3,4,434,Regular Customers
1263,145,1,7534,4,3,4,434,Regular Customers
1264,163,1,4459,3,3,2,332,Regular Customers
1275,415,1,4067,2,3,2,232,Regular Customers
1278,146,1,7273,4,3,4,434,Regular Customers
1281,496,1,5895,2,3,3,233,Regular Customers
1298,512,1,3785,2,3,1,231,Regular Customers
1313,44,1,5629,4,3,3,433,Regular Customers
1318,535,1,5538,1,3,3,133,Regular Customers
1319,234,1,7030,3,3,4,334,Regular Customers
1325,129,1,7582,4,3,4,434,Regular Customers
1328,150,1,7175,4,3,4,434,Regular Customers
1334,284,1,6871,3,3,4,334,Regular Customers
1338,137,2,11425,4,4,5,445,Regular Customers
1340,255,1,7290,3,3,4,334,Regular Customers
1348,272,1,6772,3,3,4,334,Regular Customers
1353,470,1,4274,2,3,2,232,Regular Customers
1363,130,1,7765,4,3,4,434,Regular Customers
1366,178,1,6207,3,3,3,333,Regular Customers
1379,108,1,8009,4,3,4,434,Regular Customers
1383,159,1,8173,3,3,4,334,Regular Customers
1401,603,1,4333,1,3,2,132,Regular Customers
1405,179,1,6241,3,3,3,333,Regular Customers
1415,491,1,4334,2,3,2,232,Regular Customers
1417,220,1,6734,3,3,3,333,Regular Customers
1421,183,1,5531,3,3,3,333,Regular Customers
1424,653,1,3117,1,3,1,131,Regular Customers
1433,122,1,7350,4,3,4,434,Regular Customers
1434,471,1,4511,2,3,2,232,Regular Customers
1435,317,1,4318,3,3,2,332,Regular Customers
1448,177,1,4840,3,3,2,332,Regular Customers
1455,184,1,5687,3,3,3,333,Regular Customers
1462,618,1,4036,1,3,2,132,Regular Customers
1467,568,1,4460,1,3,2,132,Regular Customers
1483,127,2,12403,4,4,5,445,Regular Customers
1488,206,1,7736,3,3,4,334,Regular Customers
1499,436,1,4308,2,3,2,232,Regular Customers
1504,506,1,4150,2,3,2,232,Regular Customers
1511,171,1,7499,3,3,4,334,Regular Customers
1514,448,1,5117,2,3,3,233,Regular Customers
1516,87,1,8156,4,3,4,434,Regular Customers
1521,227,2,11933,3,4,5,345,Regular Customers
1524,519,1,4302,2,3,2,232,Regular Customers
1532,281,1,4996,3,3,3,333,Regular Customers
1544,463,1,5010,2,3,3,233,Regular Customers
1549,581,1,4098,1,3,2,132,Regular Customers
1557,114,1,5976,4,3,3,433,Regular Customers
1558,624,1,3744,1,3,1,131,Regular Customers
1559,520,1,4475,2,3,2,232,Regular Customers
